gconfmm 2.28.3-4
gcr 3.20.0+45+g4708f35-1
gd 2.2.4-2
gdb 7.12.1-3
gdb-common 7.12.1-3
gdbm 1.13-1
gdk-pixbuf2 2.36.6-2
gdm 3.24.2-1
gdm3setup 20150813-1
gdm3setup-utils 20150507-1
gedit 3.22.0+44+ge706c1259-1
gedit-code-assistance 3.16.0+4+gd19b879-1
gegl02 0.2.0-7
geoclue2 2.4.6-1
geocode-glib 3.23.90-1
geoip 1.6.10-1
geoip-database 20170502-1
gerbv 2.6.2-1
geteltorito 0.6-1
gettext 0.19.8.1-2
gfbgraph 0.2.3+10+gbc03c1f-1
ghc 8.0.1-1
ghostscript 9.21-2
giblib 1.2.4-6
giflib 5.1.4-1
gifsicle 1.88-1
gimp 2.8.20-1
git 2.13.0-1
gitg 3.24.0-1
gjs 1.48.3-1
gksu 2.0.2-5
gl2ps 1.3.9-1
glew 2.0.0-1
glfw-x11 3.2.1-1
glib-networking 2.50.0-2
glib2 2.52.2+1+gb8bd46bc8-1
glibc 2.25-1
glibmm 2.51.7-1
glpk 4.61-1
glproto 1.4.17-1
glu 9.0.0-4
gmime 2.6.23+4+g91dcee38-1
gmp 6.1.2-1
gnome-alsamixer 0.9.7-3
gnome-autoar 0.2.2-1
gnome-backgrounds 3.24.0+2+g755b6f9-1
gnome-bluetooth 3.20.1+1+ge902d1a-1
gnome-calculator 3.24.0+2+g0ca2919b-1
gnome-calendar 3.24.2-1
gnome-characters 3.22.0+49+g0d6a0bd-1
gnome-chess 3.24.1-1
gnome-clocks 3.24.0+4+gd1003cd-1
gnome-code-assistance 3.16.1-1
gnome-color-manager 3.24.0+4+ge78025a-1
gnome-contacts 3.22.1+4+gb235b6d-1
gnome-control-center 3.24.2-1
gnome-desktop 1:3.24.2-1
gnome-devel-docs 3.22.1-1
gnome-dictionary 3.24.0+5+ga7aa054-1
gnome-disk-utility 3.24.1-1
gnome-font-viewer 3.24.0-1
gnome-getting-started-docs 3.24.1-1
gnome-icon-theme 3.12.0-4
gnome-icon-theme-symbolic 3.12.0-4
gnome-keyring 1:3.20.0+57+g9db67ef6-1
gnome-klotski 3.22.1-1
gnome-logs 3.24.1+1+gf949685-1
gnome-mahjongg 3.22.0+1+g55799c1-1
gnome-maps 3.24.2-1
gnome-menus 3.13.3+27+g69656ff-1
gnome-mines 3.24.0+1+ga8c3697-1
gnome-nettool 3.8.1-3
gnome-nibbles 3.24.0+1+g623d38e-1
gnome-online-accounts 3.24.0+6+g8108ad4c-1
gnome-power-manager 3.24.0+5+gceaae952-1
gnome-screenshot 3.22.0+42+g8472361-1
gnome-session 3.24.1-1
gnome-settings-daemon 3.24.2-1
gnome-shell 3.24.2-1
gnome-shell-extension-activities-config 52-1
gnome-shell-extension-shellshape-git r322.c97e4cc-1
gnome-shell-extension-system-monitor-git 786.52135fa-1
gnome-shell-extension-workspace-grid-git 1.3.9.2-1
gnome-shell-extensions 3.24.2-1
gnome-sound-recorder 3.24.0.1+8+g0b8e221-1
gnome-sudoku 3.24.0+3+g08a1072-1
gnome-system-log 3.9.90+156+g6e29f03-1
gnome-system-monitor 3.24.0+4+g9140c85a-1
gnome-taquin 3.22.0-1
gnome-terminal 3.24.2-1
gnome-themes-standard 3.22.3-1
gnome-tweak-tool 3.24.0+3+g01bffca-1
gnome-user-docs 3.24.2-1
gnome-video-effects 0.4.3-1
gnome-weather 3.24.0-1
gnu-netcat 0.7.1-6
gnupg 2.1.21-1
gnutls 3.5.12-1
go 2:1.8.1-2
gobject-introspection-runtime 1.52.1-1
gom 0.3.2+12+gc7bd13d-1
google-chrome 57.0.2987.110-1
gparted 0.28.1-1
gperf 3.1-1
gperftools 2.5-1
gpgme 1.9.0-3
gpm 1.20.7-7
graphene 1.6.0-1
graphicsmagick 1.3.25-4
graphite 1:1.3.10-1
graphviz 2.40.1-3
grep 3.0-1
grilo 0.3.3+3+g3104a34-1
grilo-plugins 0.3.4+13+gf460a00-1
groff 1.22.3-7
grub 2:2.02-1
gsettings-desktop-schemas 3.24.0-1
gsfonts 20160531-3
gsl 2.3-1
gsm 1.0.16-1
gsound 1.0.2-2
gspell 1.4.1-1
gspiceui 1.1.00-1
gssdp 1.0.2-1
gst-libav 1.12.0-1
gst-plugins-bad 1.12.0-1
gst-plugins-base 1.12.0-1
gst-plugins-base-libs 1.12.0-1
gst-plugins-good 1.12.0-1
gst-plugins-ugly 1.12.0-3
gstreamer 1.12.0-1
gtest 1.8.0-1
gtk-arc-flatabulous-theme-git 690.8cc65c4-1
gtk-engine-murrine 0.98.2-2
gtk-update-icon-cache 3.22.15-1
gtk-vnc 0.7.1-1
gtk2 2.24.31-1
gtk3 3.22.15-1
gtk3-print-backends 3.22.15-1
gtkglext 1.2.0-10
gtkmm 2.24.5-2
gtkmm3 3.22.0-2
gtkparasite-git 0.3.0.r95.445cd7a-2
gtksourceview3 3.24.2-1
gtkspell 2.0.16-3
gtkspell3 3.0.9-1
gts 0.7.6-3
gucharmap 9.0.4-1
guile 2.2.2-1
guile2.0 2.0.14-1
gupnp 1.0.2-1
gupnp-av 0.12.10-1
gupnp-dlna 0.10.5-2
guvcview 2.0.5-1
gvfs 1.32.1-1
gvim 8.0.0586-2
gwinwrap-svn 1-4
gzip 1.8-2
harfbuzz 1.4.6-1
harfbuzz-icu 1.4.6-1
haskell-data-default 0.7.1.1-4
haskell-data-default-class 0.1.2.0-1
haskell-data-default-instances-containers 0.0.1-13
haskell-data-default-instances-dlist 0.0.1-17
haskell-data-default-instances-old-locale 0.0.1-13
haskell-dlist 0.8.0.2-1
haskell-extensible-exceptions 0.1.1.4-14
haskell-mtl 2.2.1-6
haskell-old-locale 1.0.0.7-8
haskell-setlocale 1.0.0.4-1
haskell-utf8-string 1.0.1.1-2
haskell-x11 1.8-1
hddtemp 0.3.beta15.52-2
hdf5 1.10.0_patch1-1
hdparm 9.51-1
help2man 1.47.4-1
heroku-toolbelt 3.43.9-1
hicolor-icon-theme 0.15-1
hitori 3.22.2-1
horst 5.0-2
hspell 1.3-1
htop 2.0.2-1
http-parser 2.7.1-1
hunspell 1.6.1-1
hwids 20161103-1
hwloc 1.11.7-1
hyphen 2.8.8-1
i2c-tools 3.1.1-2
i3-wm 4.13-1
i3lock 2.8-1
iagno 3.22.0-1
iana-etc 20170512-1
icaclient 13.5-2
icon-naming-utils 0.8.90-3
icu 59.1-1
idnkit 1.0-3
ijs 0.35-1
ilmbase 2.2.0-2
imagemagick 6.9.8.6-1
imlib2 1.4.10-1
indicator-kdeconnect-git 252.281e606-1
inetutils 1.9.4-5
iniparser 4.0-2
inkscape 0.92.1-2
inotify-tools 3.14-4
inputproto 2.3.2-1
intel-tbb 2017_20170412-1
intltool 0.51.0-2
iproute2 4.11.0-1
iptables 1.6.1-1
iputils 20161105.1f2bb12-2
ipython 5.3.0-1
ipython2 5.3.0-1
iso-codes 3.74-1
iw 4.9-1
jack 0.125.0-3
jansson 2.10-1
jasper 2.0.12-1
java-environment-common 2-2
java-runtime-common 2-2
jbig2dec 0.13-1
jdk7-openjdk 7.u131_2.6.9-1
jdk8-openjdk 8.u121-1
jemalloc 4.5.0-1
jfsutils 1.1.15-4
jq 1.5-5
jre7-openjdk 7.u131_2.6.9-1
jre7-openjdk-headless 7.u131_2.6.9-1
jre8-openjdk 8.u121-1
jre8-openjdk-headless 8.u121-1
